,start_at,symbol,period,open,high,low,close,timestamp
0,1636156800,BTCUSD,1,61020.47,61020.47,61005.05,61006.37,2021-11-06 00:00:00
1,1636156860,BTCUSD,1,61006.37,61006.99,60994.53,60994.87,2021-11-06 00:01:00
2,1636156920,BTCUSD,1,60994.87,61001.62,60949.69,60975.35,2021-11-06 00:02:00
3,1636156980,BTCUSD,1,60975.35,60984.75,60945.7,60945.7,2021-11-06 00:03:00
4,1636157040,BTCUSD,1,60945.7,60951.63,60921.56,60951.37,2021-11-06 00:04:00
5,1636157100,BTCUSD,1,60951.37,60980.53,60930.27,60936.44,2021-11-06 00:05:00
6,1636157160,BTCUSD,1,60936.44,60948.43,60899.12,60913.99,2021-11-06 00:06:00
7,1636157220,BTCUSD,1,60913.99,60916.96,60905.42,60916.39,2021-11-06 00:07:00
8,1636157280,BTCUSD,1,60916.39,60968.55,60912.92,60955.07,2021-11-06 00:08:00
9,1636157340,BTCUSD,1,60955.07,60985.55,60955.07,60975.81,2021-11-06 00:09:00
10,1636157400,BTCUSD,1,60975.81,61079.61,60975.75,61078.69,2021-11-06 00:10:00
11,1636157460,BTCUSD,1,61078.69,61107.34,61078.69,61107.31,2021-11-06 00:11:00
12,1636157520,BTCUSD,1,61107.31,61107.31,60944.08,60949.37,2021-11-06 00:12:00
13,1636157580,BTCUSD,1,60949.37,60957.89,60861.37,60890.31,2021-11-06 00:13:00
14,1636157640,BTCUSD,1,60890.31,61008.62,60890.31,61008.62,2021-11-06 00:14:00
15,1636157700,BTCUSD,1,61008.62,61009.42,60967.02,60973.58,2021-11-06 00:15:00
16,1636157760,BTCUSD,1,60973.58,61049.18,60960.84,61049.17,2021-11-06 00:16:00
17,1636157820,BTCUSD,1,61049.17,61093.04,61042.38,61067.55,2021-11-06 00:17:00
18,1636157880,BTCUSD,1,61067.55,61142.45,61053.67,61142.45,2021-11-06 00:18:00
19,1636157940,BTCUSD,1,61142.45,61179.71,61127.99,61179.71,2021-11-06 00:19:00
