,startTime,open,high,low,close,volume,endTime,quoteAssetVolume,trades,takerBaseVolume,takerQuoteVolume,timestamp
0,1637160960000,59600,59697.78,59600,59691.98,0.143073,0,8538.89411825,6,0,0,2021-11-17 14:56:00
1,1637161020000,59691.98,59704.69,59625.28,59625.28,1.585663,0,94635.09667207,30,0,0,2021-11-17 14:57:00
2,1637161080000,59625.28,59664.29,59603.04,59625.37,0.62185,0,37088.10152288,14,0,0,2021-11-17 14:58:00
3,1637161140000,59625.37,59631.59,59618.94,59631.39,0.221179,0,13187.23961021,3,0,0,2021-11-17 14:59:00
4,1637161200000,59631.39,59694.77,59567.01,59567.02,0.587486,0,35017.37965211,21,0,0,2021-11-17 15:00:00
5,1637161260000,59567.02,59628.53,59525.6,59628.53,1.190219,0,70891.43412504,30,0,0,2021-11-17 15:01:00
6,1637161320000,59628.53,59651.51,59573.91,59607.35,0.417704,0,24911.91493217,9,0,0,2021-11-17 15:02:00
7,1637161380000,59607.35,59659.78,59565.75,59659.78,0.230794,0,13756.823639,7,0,0,2021-11-17 15:03:00
8,1637161440000,59659.78,59712.11,59659.78,59663.51,0.148757,0,8878.08106805,10,0,0,2021-11-17 15:04:00
9,1637161500000,59663.51,59663.51,59632,59658.24,0.161811,0,9650.23065358,3,0,0,2021-11-17 15:05:00
10,1637161560000,59658.24,59702.15,59658.24,59687.54,0.05569,0,3324.06522431,4,0,0,2021-11-17 15:06:00
11,1637161620000,59687.54,59702.77,59671.38,59702.77,0.31743,0,18941.82560268,7,0,0,2021-11-17 15:07:00
12,1637161680000,59702.77,59713.65,59634.38,59634.38,0.195439,0,11660.44419792,9,0,0,2021-11-17 15:08:00
13,1637161740000,59634.38,59634.38,59555.08,59557.93,0.498126,0,29671.95012596,13,0,0,2021-11-17 15:09:00
14,1637161800000,59557.93,59621.54,59557.93,59607.5,0.310276,0,18489.18712475,9,0,0,2021-11-17 15:10:00
15,1637161860000,59607.5,59607.5,59548.15,59554.62,0.07546,0,4496.41685434,10,0,0,2021-11-17 15:11:00
16,1637161920000,59554.62,59626.82,59554.62,59626.82,0.07951,0,4739.3054531,4,0,0,2021-11-17 15:12:00
17,1637161980000,59626.82,59626.82,59563.71,59563.71,0.00112,0,66.7237645,5,0,0,2021-11-17 15:13:00
18,1637162040000,59563.71,59604.79,59563.71,59577.97,0.182641,0,10882.28862036,12,0,0,2021-11-17 15:14:00
19,1637162100000,59577.97,59594.36,59518.16,59594.36,0.574193,0,34200.07307313,29,0,0,2021-11-17 15:15:00
20,1637162160000,59594.36,59628.17,59594.36,59624.44,2.25541,0,134440.47069909,24,0,0,2021-11-17 15:16:00
21,1637162220000,59624.44,59644.11,59600.82,59600.83,0.06414,0,3822.83434725,4,0,0,2021-11-17 15:17:00
22,1637162280000,59600.83,59608.9,59593.72,59593.72,0.07799,0,4648.69436504,2,0,0,2021-11-17 15:18:00
23,1637162340000,59593.72,59593.72,59592.4,59593.37,0.050507,0,3009.87342506,11,0,0,2021-11-17 15:19:00
24,1637162400000,59593.37,59593.69,59542.93,59545.53,0.334494,0,19922.34661215,15,0,0,2021-11-17 15:20:00
25,1637162460000,59545.53,59617.43,59545.53,59617.43,0.169809,0,10118.92175718,15,0,0,2021-11-17 15:21:00
26,1637162520000,59617.43,59645.69,59593.15,59645.69,0.260425,0,15529.96929146,9,0,0,2021-11-17 15:22:00
27,1637162580000,59645.69,59645.69,59482.72,59482.72,0.484078,0,28817.81290351,17,0,0,2021-11-17 15:23:00
28,1637162640000,59482.72,59497.15,59482.72,59497.15,0.162049,0,9639.91076478,5,0,0,2021-11-17 15:24:00
29,1637162700000,59497.15,59551.24,59470.01,59503.81,0.632635,0,37638.21802282,10,0,0,2021-11-17 15:25:00
30,1637162760000,59503.81,59503.81,59414.69,59414.69,0.64631,0,38408.34769522,12,0,0,2021-11-17 15:26:00
31,1637162820000,59414.69,59470.11,59400.01,59400.01,0.410499,0,24395.37070688,8,0,0,2021-11-17 15:27:00
32,1637162880000,59400.01,59419.45,59371.94,59417.63,1.730759,0,102792.96402433,32,0,0,2021-11-17 15:28:00
33,1637162940000,59417.63,59494.22,59404.55,59447.77,0.260913,0,15509.04139856,9,0,0,2021-11-17 15:29:00
34,1637163000000,59447.77,59450.35,59412.64,59443.73,0.111196,0,6607.31322114,7,0,0,2021-11-17 15:30:00
35,1637163060000,59443.73,59517.47,59443.73,59457.18,0.462848,0,27529.15855022,10,0,0,2021-11-17 15:31:00
36,1637163120000,59457.18,59457.18,59363.79,59402.21,0.06438,0,3824.16187446,11,0,0,2021-11-17 15:32:00
37,1637163180000,59402.21,59404.54,59389.51,59390.92,0.362494,0,21529.96004665,15,0,0,2021-11-17 15:33:00
